Designator,Mid X,Mid Y,Rotation,Layer
C1,65.532,-24.638,270.0,top
C11,49.53,-37.174,180.0,top
C2,79.9338,-26.9632,90.0,top
C3,82.5754,-26.718,90.0,top
C4,100.0506,-23.5596,0.0,top
C5,98.7806,-20.5624,270.0,top
C6,88.9762,-34.5324,270.0,top
C7,93.472,-31.4365,90.0,top
C8,32.258,-22.2388,270.0,top
C9,62.738,-24.384,90.0,top
D1,87.6554,-26.718,90.0,top
D2,51.0794,-34.1768,270.0,top
IC1,36.068,-22.0864,90.0,top
J1,107.315,-20.283,180.0,bottom
J2,56.4642,-36.3104,90.0,top
J3,20.955,-36.793,0.0,bottom
J4,100.203,-28.411,180.0,bottom
J6,35.56,-34.888,0.0,top
L1,94.996,-31.496,180.0,top
Q1,68.834,-26.9355,270.0,top
Q2,70.8914,-33.3132,270.0,top
Q5,37.338,-26.67,0.0,top
R1,90.297,-26.718,90.0,top
R10,45.085,-37.174,180.0,top
R11,51.0794,-30.4684,90.0,top
R2,101.4222,-20.5624,270.0,top
R3,72.136,-26.9124,90.0,top
R4,77.216,-26.924,270.0,top
R5,74.676,-26.9124,270.0,top
R6,39.878,-22.0356,90.0,top
R7,42.672,-22.0864,270.0,top
R8,60.071,-24.638,270.0,top
SW1,82.4738,-34.4816,0.0,top
SW2,45.974,-23.114,90.0,top
U2,56.134,-24.728,90.0,top
U3,46.9138,-32.348,90.0,top
U4,94.2594,-27.4712,270.0,top
X1,90.17,-21.172,0.0,top
